City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kodiak,US,2022-02-02 00:31:47,57.79,-152.4072,38.71,87,100,5.75
70,Grahamstown,ZA,2022-02-02 00:31:48,-33.3042,26.5328,72.63,70,100,7.0
71,Talaya,RU,2022-02-02 00:31:48,61.3833,152.75,-8.55,96,100,4.54
72,Norman Wells,CA,2022-02-02 00:31:49,65.282,-126.8329,-18.36,69,20,0.0
73,Tuktoyaktuk,CA,2022-02-02 00:31:50,69.4541,-133.0374,-25.6,75,20,4.61
74,Hobart,AU,2022-02-02 00:30:04,-42.8794,147.3294,62.06,45,75,3.0
75,Nizhniy Kuranakh,RU,2022-02-02 00:31:51,58.8353,125.4869,-7.56,96,100,7.27
76,Kaitangata,NZ,2022-02-02 00:31:06,-46.2817,169.8464,79.93,58,100,12.77
77,Husavik,IS,2022-02-02 00:31:52,66.0449,-17.3389,8.51,82,87,11.52
78,Stromness,GB,2022-02-02 00:31:37,58.965,-3.296,40.96,90,100,21.77
79,Hearst,CA,2022-02-02 00:27:01,49.6835,-83.6665,32.25,79,98,14.61
80,Port Hedland,AU,2022-02-02 00:31:53,-20.3167,118.5667,84.25,84,100,5.75
81,Buta,CD,2022-02-02 00:31:54,2.7858,24.73,70.68,53,100,1.28
82,Castro,BR,2022-02-02 00:31:55,-24.7911,-50.0119,63.43,94,81,5.32
83,Sangar,RU,2022-02-02 00:31:55,63.9242,127.4739,-31.88,98,100,2.04
84,Sungairaya,ID,2022-02-02 00:31:56,0.7,108.9,80.44,77,19,4.88
85,Noumea,NC,2022-02-02 00:31:57,-22.2763,166.4572,87.78,68,97,8.75
86,Barrow,US,2022-02-02 00:30:21,71.2906,-156.7887,-16.58,69,40,10.36
87,Te Anau,NZ,2022-02-02 00:31:58,-45.4167,167.7167,66.43,97,100,5.3
88,Borovoy,RU,2022-02-02 00:31:59,55.4333,86.0833,11.48,92,100,4.47
89,Moron,AR,2022-02-02 00:32:00,-34.6534,-58.6198,79.0,63,0,6.78
90,Pokhara,NP,2022-02-02 00:32:00,28.2333,83.9833,46.15,58,6,5.26
