City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Dutlwe,BW,2022-02-10 17:13:00,-23.9833,23.9,82.71,35,83,3.13,broken clouds
119,Constitucion,CL,2022-02-10 17:13:01,-35.3333,-72.4167,67.71,63,76,7.07,broken clouds
120,Bathsheba,BB,2022-02-10 17:13:01,13.2167,-59.5167,84.81,54,20,24.16,few clouds
121,Uray,RU,2022-02-10 17:13:01,60.1247,64.7758,6.76,94,100,11.05,overcast clouds
122,Dawson,US,2022-02-10 17:13:01,31.7735,-84.4466,66.58,46,4,4.92,clear sky
123,Victoria Point,AU,2022-02-10 17:13:02,-27.5833,153.3,70.92,85,0,1.99,clear sky
124,Chuy,UY,2022-02-10 17:10:11,-33.6971,-53.4616,79.56,47,10,13.67,clear sky
125,Hofn,IS,2022-02-10 17:13:02,64.2539,-15.2082,26.64,58,19,7.2,few clouds
126,Tiksi,RU,2022-02-10 17:13:02,71.6872,128.8694,-11.81,93,100,15.41,overcast clouds
127,Mayumba,GA,2022-02-10 17:13:03,-3.432,10.6554,79.61,83,36,8.95,scattered clouds
128,Paamiut,GL,2022-02-10 17:13:03,61.994,-49.6678,16.5,73,100,7.52,overcast clouds
129,Torbay,CA,2022-02-10 17:13:03,47.6666,-52.7314,42.76,77,44,4.0,scattered clouds
130,Outram,MY,2022-02-10 17:13:04,1.2829,103.8379,75.22,85,75,8.05,moderate rain
131,Pevek,RU,2022-02-10 17:13:04,69.7008,170.3133,-32.28,100,100,7.18,overcast clouds
132,Marandahalli,IN,2022-02-10 17:13:04,12.4,78.0,69.04,58,7,5.55,clear sky
133,Appleton,US,2022-02-10 17:13:05,44.2619,-88.4154,24.8,68,100,11.5,light snow
134,Cabo San Lucas,MX,2022-02-10 17:12:26,22.8909,-109.9124,74.52,46,0,4.61,clear sky
135,Deputatskiy,RU,2022-02-10 17:13:05,69.3,139.9,-24.39,95,87,6.22,overcast clouds
136,Daru,PG,2022-02-10 17:13:05,-9.0763,143.2092,79.59,80,89,10.87,overcast clouds
137,Ichinoseki,JP,2022-02-10 17:13:06,38.9167,141.1333,28.4,97,98,3.22,overcast clouds
138,Yenagoa,NG,2022-02-10 17:13:06,4.9247,6.2642,92.03,42,62,11.34,broken clouds
139,Anadyr,RU,2022-02-10 17:13:06,64.75,177.4833,-35.07,98,21,4.23,few clouds
