City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
153,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Shandrani Beachcomber Resort & Spa
157,Cockburn Town,TC,77.72,clear sky,21.4612,-71.1419,Osprey Beach Hotel
158,Kirakira,SB,78.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
159,Bima,ID,75.65,moderate rain,-8.4667,118.7167,Lambitu Hotel
160,Morant Bay,JM,81.63,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
163,Lazaro Cardenas,MX,80.37,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
165,Tucuma,BR,82.87,overcast clouds,-0.1833,-50.05,Hotel Renata
166,Puerto Madryn,AR,71.6,broken clouds,-42.7692,-65.0385,Hotel Tolosa
169,Salalah,OM,75.29,few clouds,17.0151,54.0924,Hilton Salalah Resort
170,Camana,PE,74.91,broken clouds,-16.6228,-72.7111,Hostal Morales
172,Cumana,VE,81.5,clear sky,10.4635,-64.1775,Posada Acuarela Los Roques
173,Botelhos,BR,72.99,overcast clouds,-21.6333,-46.395,Casa de Campo com Piscina Aquecida
176,Santa Rosa,PH,79.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
177,Buala,SB,79.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
178,Alofi,NU,81.03,broken clouds,-19.0595,-169.9187,Scenic Matavai Resort Niue
180,Providencia,MX,75.25,clear sky,28.7167,-111.5833,Altarena
186,Adrar,MR,79.47,scattered clouds,20.5022,-10.0711,
187,Cururupu,BR,77.32,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
189,Guerrero Negro,MX,66.07,clear sky,27.9769,-114.0611,The Halfway Inn
192,Ani-E,PH,68.77,overcast clouds,8.6136,124.8706,Kahulugan Spring Resort
193,Dhidhdhoo,MV,80.64,broken clouds,6.8833,73.1,The Barefoot Eco Hotel
196,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
197,Pisco,PE,78.03,clear sky,-13.7,-76.2167,DoubleTree Resort by Hilton Hotel Paracas - Peru
199,Najran,SA,68.65,clear sky,17.4924,44.1277,رست ان نجران REST INN NAJRAN
202,Morgan City,US,66.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
209,Malpe,IN,79.9,clear sky,13.35,74.7167,"Akuna Matata, Uchila Beach, india"
211,Chipinge,ZW,69.76,scattered clouds,-20.1883,32.6236,Chipinge Breeze Lodge
212,Barranca,PE,74.12,overcast clouds,-10.75,-77.7667,Albufera Medio Mundo Bungalows & Camping
214,Eureka,US,65.01,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
216,Sola,VU,82.4,overcast clouds,-13.8833,167.55,Leumerus Bungalows
222,Kailua,US,73.38,clear sky,21.4022,-157.7394,Paradise Bay Resort
224,Samarai,PG,81.64,overcast clouds,-10.6167,150.6667,Nuli Sapi
233,Breves,BR,84.72,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
235,Gambo,CF,84.42,overcast clouds,4.6482,22.2633,
236,Barkly West,ZA,83.48,clear sky,-28.5354,24.5215,Hippo Pools Resort
245,Ponta Do Sol,PT,71.71,overcast clouds,32.6667,-17.1,Golden Residence Hotel
249,Uvira,CD,73.81,overcast clouds,-3.4067,29.1458,Nonara Beach Resort
253,Luangwa,ZM,76.75,overcast clouds,-15.6167,30.4167,Redcliff Zambezi Lodge
254,Rawson,AR,66.34,overcast clouds,-43.3002,-65.1023,Hotel Touring Club
255,Port-Gentil,GA,81.46,light rain,-0.7193,8.7815,Fengshui Residence
256,Padang,ID,77.58,overcast clouds,-0.9492,100.3543,Mercure Padang
258,Anloga,GH,82.63,clear sky,5.7947,0.8973,A&Y Wild Camp Ghana
259,Dwarka,IN,71.71,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
264,Kavieng,PG,80.76,light rain,-2.5744,150.7967,Lissenung Island Resort
265,Moquegua,PE,75.0,overcast clouds,-17.1956,-70.9353,Residencial Moquegua
267,Mosquera,CO,68.09,scattered clouds,4.7059,-74.2302,Hotel Morrison 84
268,Goure,NE,81.01,broken clouds,13.9835,10.2704,
